Scenario,Country,Taxa,Area,Value
SR,ARG,All,IPL,82
SR,AUS,All,IPL,116
SR,BDI,All,IPL,178
SR,BEN,All,IPL,79
SR,BGD,All,IPL,133
SR,BLZ,All,IPL,274
SR,BOL,All,IPL,290
SR,BRA,All,IPL,427
SR,CAF,All,IPL,90
SR,CHN,All,IPL,142
SR,CIV,All,IPL,99
SR,CMR,All,IPL,125
SR,COD,All,IPL,187
SR,COG,All,IPL,259
SR,COL,All,IPL,419
SR,CRI,All,IPL,288
SR,DMA,All,IPL,34
SR,ECU,All,IPL,543
SR,ETH,All,IPL,62
SR,GAB,All,IPL,266
SR,GTM,All,IPL,194
SR,GUF,All,IPL,467
SR,GUY,All,IPL,429
SR,HND,All,IPL,222
SR,IDN,All,IPL,168
SR,IND,All,IPL,195
SR,KEN,All,IPL,88
SR,KHM,All,IPL,189
SR,LAO,All,IPL,282
SR,LKA,All,IPL,92
SR,MEX,All,IPL,165
SR,MMR,All,IPL,254
SR,MYS,All,IPL,286
SR,NCL,All,IPL,29
SR,NGA,All,IPL,106
SR,NIC,All,IPL,294
SR,NPL,All,IPL,172
SR,PAK,All,IPL,60
SR,PAN,All,IPL,335
SR,PER,All,IPL,525
SR,PHL,All,IPL,156
SR,PRY,All,IPL,250
SR,RWA,All,IPL,165
SR,SLV,All,IPL,157
SR,SUR,All,IPL,460
SR,TGO,All,IPL,66
SR,THA,All,IPL,258
SR,TWN,All,IPL,96
SR,TZA,All,IPL,86
SR,UGA,All,IPL,108
SR,USA,All,IPL,76
SR,VEN,All,IPL,410
SR,VNM,All,IPL,248
TS,ARG,All,IPL,2.10294127464294
TS,AUS,All,IPL,2.09230780601501
TS,BDI,All,IPL,2.40211629867554
TS,BEN,All,IPL,2.76923084259033
TS,BGD,All,IPL,2.56451606750488
TS,BLZ,All,IPL,2.23462498188019
TS,BOL,All,IPL,2.18465900421143
TS,BRA,All,IPL,2.1873767375946
TS,CAF,All,IPL,2.0991735458374
TS,CHN,All,IPL,2.25
TS,CIV,All,IPL,2.5
TS,CMR,All,IPL,2.34482765197754
TS,COD,All,IPL,2.29064035415649
TS,COG,All,IPL,2.30740737915039
TS,COL,All,IPL,2.13501143455505
TS,CRI,All,IPL,2.33557057380676
TS,DMA,All,IPL,2.18181824684143
TS,ECU,All,IPL,2.16216206550598
TS,ETH,All,IPL,2.63333344459534
TS,GAB,All,IPL,2.34586477279663
TS,GTM,All,IPL,2.32941174507141
TS,GUF,All,IPL,2.14675045013428
TS,GUY,All,IPL,2.16475963592529
TS,HND,All,IPL,2.29999995231628
TS,IDN,All,IPL,3.04878044128418
TS,IND,All,IPL,2.45491814613342
TS,KEN,All,IPL,2.42352938652039
TS,KHM,All,IPL,2.79816508293152
TS,LAO,All,IPL,2.48780488967896
TS,LKA,All,IPL,2.25531911849976
TS,MEX,All,IPL,2.23703694343567
TS,MMR,All,IPL,2.52272725105286
TS,MYS,All,IPL,3.2159469127655
TS,NCL,All,IPL,2.85714292526245
TS,NGA,All,IPL,2.35714292526245
TS,NIC,All,IPL,2.33783793449402
TS,NPL,All,IPL,2.26347303390503
TS,PAK,All,IPL,2.03773593902588
TS,PAN,All,IPL,2.31686043739319
TS,PER,All,IPL,2.1860466003418
TS,PHL,All,IPL,3.00719428062439
TS,PRY,All,IPL,2.33707857131958
TS,RWA,All,IPL,2.43151366710663
TS,SLV,All,IPL,2.24516129493713
TS,SUR,All,IPL,2.14967465400696
TS,TGO,All,IPL,2.85714292526245
TS,THA,All,IPL,2.51485157012939
TS,TWN,All,IPL,2.70967745780945
TS,TZA,All,IPL,2.54320979118347
TS,UGA,All,IPL,2.38297867774963
TS,USA,All,IPL,2.20000004768372
TS,VEN,All,IPL,2.1850221157074
TS,VNM,All,IPL,2.45021653175354
IR,ARG,All,IPL,6.45401939891599E-07
IR,AUS,All,IPL,2.29495731218776E-06
IR,BDI,All,IPL,5.78676645091036E-06
IR,BEN,All,IPL,6.11351538282179E-07
IR,BGD,All,IPL,6.57959333238978E-07
IR,BLZ,All,IPL,1.83381848728459E-06
IR,BOL,All,IPL,4.0314250782103E-07
IR,BRA,All,IPL,3.15216283297559E-07
IR,CAF,All,IPL,3.29788548469878E-07
IR,CHN,All,IPL,1.03023353403842E-06
IR,CIV,All,IPL,4.58860597518651E-07
IR,CMR,All,IPL,4.77035712265206E-07
IR,COD,All,IPL,4.41324232269835E-07
IR,COG,All,IPL,5.74159798816254E-07
IR,COL,All,IPL,3.05543551348819E-07
IR,CRI,All,IPL,1.00642705547216E-05
IR,DMA,All,IPL,0.000216781132622
IR,ECU,All,IPL,1.22680796721397E-06
IR,ETH,All,IPL,1.85607734692894E-06
IR,GAB,All,IPL,5.96848735767708E-07
IR,GTM,All,IPL,3.98268389290024E-06
IR,GUF,All,IPL,5.09431345108169E-07
IR,GUY,All,IPL,3.90266080785295E-07
IR,HND,All,IPL,2.68571523065475E-06
IR,IDN,All,IPL,2.17501042243384E-06
IR,IND,All,IPL,1.67225550740113E-06
IR,KEN,All,IPL,6.36978711554548E-06
IR,KHM,All,IPL,1.42748854159436E-06
IR,LAO,All,IPL,1.19773960705061E-06
IR,LKA,All,IPL,5.23286371389986E-06
IR,MEX,All,IPL,3.10565246763872E-06
IR,MMR,All,IPL,8.93239871402329E-07
IR,MYS,All,IPL,2.15670752368169E-06
IR,NCL,All,IPL,6.02620493737049E-05
IR,NGA,All,IPL,8.31866088901734E-07
IR,NIC,All,IPL,2.30734372053121E-06
IR,NPL,All,IPL,2.52021277447057E-06
IR,PAK,All,IPL,1.58700058818795E-05
IR,PAN,All,IPL,4.65560242446372E-06
IR,PER,All,IPL,5.49853496067954E-07
IR,PHL,All,IPL,9.04162425285904E-06
IR,PRY,All,IPL,1.21457094337529E-06
IR,RWA,All,IPL,9.26628808883833E-06
IR,SLV,All,IPL,3.27663235566433E-06
IR,SUR,All,IPL,4.28082472581082E-07
IR,TGO,All,IPL,4.30682177920971E-07
IR,THA,All,IPL,1.06730294646695E-06
IR,TWN,All,IPL,8.39001768326853E-06
IR,TZA,All,IPL,7.80367463448783E-06
IR,UGA,All,IPL,5.38791300641606E-06
IR,USA,All,IPL,1.31519409478642E-05
IR,VEN,All,IPL,4.27812409498074E-07
IR,VNM,All,IPL,1.7685083548713E-06
